ID,Col,DayOfWeek,Date,Time,Col,TeamLocal,RedCardLocal,Col,TeamVisit,RedCardVisit,ScoreTeamLocal,ScoreTeamVisit,HalfTimeScore,Col,Col,Col,Col,Col,Col,Col,Col,Season,Col,Col,Col,Col
1314453,1,Saturday, Aug 25 2018,21:45,4735,Tigre,0,4736,San Martin San Juan,0,2,2,1 : 1,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314445,1,Sunday, Aug 26 2018,00:00,905,River Plate,0,907,Argentinos Juniors,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314448,1,Sunday, Aug 26 2018,15:00,895,Velez Sarsfield,0,1303,Banfield,0,1,1,0 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314447,1,Sunday, Aug 26 2018,19:30,899,Lanus,0,6145,Aldosivi,0,0,1,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314454,1,Sunday, Aug 26 2018,21:45,903,Rosario Central,0,5595,San Martin de Tucuman,0,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314451,1,Monday, Aug 27 2018,00:00,898,Huracan,0,889,Boca Juniors,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314456,1,Monday, Aug 27 2018,23:00,3802,Godoy Cruz,0,902,Newells Old Boys,0,2,1,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314457,1,Tuesday, Aug 28 2018,01:00,892,Union,0,906,San Lorenzo,0,1,1,0 : 1,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314465,1,Friday, Aug 31 2018,23:00,907,Argentinos Juniors,0,899,Lanus,0,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314469,1,Saturday, Sep 1 2018,01:00,4736,San Martin San Juan,1,898,Huracan,0,1,2,1 : 2,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314467,1,Saturday, Sep 1 2018,17:15,6147,Defensa y Justicia,0,894,Belgrano,0,1,1,0 : 1,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314461,1,Saturday, Sep 1 2018,19:30,1303,Banfield,0,9310,Patronato de Parana,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314463,1,Saturday, Sep 1 2018,21:45,893,Talleres,0,3802,Godoy Cruz,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314464,1,Sunday, Sep 2 2018,00:00,906,San Lorenzo,1,905,River Plate,0,1,1,0 : 1,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314460,1,Sunday, Sep 2 2018,15:00,890,Racing Club,0,903,Rosario Central,0,2,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314466,1,Sunday, Sep 2 2018,17:15,901,Estudiantes,0,897,Independiente,1,2,2,2 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314459,1,Sunday, Sep 2 2018,19:30,6145,Aldosivi,0,4735,Tigre,0,0,2,0 : 2,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314462,1,Sunday, Sep 2 2018,21:45,891,Colon,0,892,Union,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314458,1,Monday, Sep 3 2018,00:00,889,Boca Juniors,0,895,Velez Sarsfield,0,3,0,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314470,1,Monday, Sep 3 2018,23:00,902,Newells Old Boys,0,6148,Atletico Tucuman,0,1,2,1 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314468,1,Tuesday, Sep 4 2018,01:00,5595,San Martin de Tucuman,0,896,Gimnasia LP,0,1,1,0 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314473,1,Friday, Sep 14 2018,23:00,901,Estudiantes,0,6145,Aldosivi,0,0,2,0 : 0,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314481,1,Saturday, Sep 15 2018,01:00,6148,Atletico Tucuman,0,4735,Tigre,0,3,0,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314478,1,Saturday, Sep 15 2018,17:15,897,Independiente,0,891,Colon,1,3,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314471,1,Saturday, Sep 15 2018,19:30,905,River Plate,0,4736,San Martin San Juan,1,4,1,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314476,1,Saturday, Sep 15 2018,21:45,894,Belgrano,0,902,Newells Old Boys,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314472,1,Sunday, Sep 16 2018,00:00,907,Argentinos Juniors,0,889,Boca Juniors,0,0,1,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314475,1,Sunday, Sep 16 2018,15:00,9310,Patronato de Parana,0,896,Gimnasia LP,0,0,2,0 : 2,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314474,1,Sunday, Sep 16 2018,17:15,895,Velez Sarsfield,0,5595,San Martin de Tucuman,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314483,1,Sunday, Sep 16 2018,19:30,892,Union,0,893,Talleres,1,2,1,1 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314479,1,Sunday, Sep 16 2018,21:45,899,Lanus,0,890,Racing Club,0,0,1,0 : 0,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314482,1,Monday, Sep 17 2018,00:00,3802,Godoy Cruz,0,906,San Lorenzo,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314477,1,Monday, Sep 17 2018,23:00,898,Huracan,0,1303,Banfield,0,3,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314480,1,Tuesday, Sep 18 2018,01:00,903,Rosario Central,0,6147,Defensa y Justicia,0,0,1,0 : 0,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314864,1,Friday, Sep 21 2018,23:00,906,San Lorenzo,0,9310,Patronato de Parana,0,3,2,1 : 2,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314872,1,Saturday, Sep 22 2018,01:00,891,Colon,0,3802,Godoy Cruz,0,3,1,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314871,1,Saturday, Sep 22 2018,17:15,902,Newells Old Boys,0,899,Lanus,1,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314874,1,Saturday, Sep 22 2018,19:30,893,Talleres,0,895,Velez Sarsfield,0,1,1,1 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
